time,lon,lat,ug1_Hs,ug2_Hs,radar_Hs,ug1_Tp,ug2_Tp,radar_Tp,wind_ms
2021-12-02 00:30:42.600,-78.08050970875,26.285236297083333,0.9349737431053431,1.0927254669735929,1.6422235102773979,5.0,4.285714285714286,20.0,10.561115740740743
2021-12-02 01:00:42.500,-78.08441226500001,26.290176473333332,0.8598487703003418,1.0131215916270573,1.1894956250514799,4.285714285714286,4.186046511627906,4.186046511627906,10.134555555555556
2021-12-02 01:30:42.600,-78.08713135250001,26.276102245,1.0126998804121168,1.1017467126566765,1.6734352842226903,3.5999999999999996,4.0,4.0,11.592148148148148
2021-12-02 02:00:42.600,-78.09712916416667,26.248984994583335,4.051703576097863,1.163456070870259,1.2779884371448378,7.199999999999999,7.199999999999999,7.199999999999999,6.45199074074074
2021-12-02 02:30:42.500,-78.09172235458333,26.2219465825,0.7204679636955461,0.7455495366180693,0.8640592623450724,2.8571428571428568,2.8571428571428568,2.8571428571428568,8.383300925925925
2021-12-02 03:00:42.600,-78.06851708458333,26.19714552541667,0.6362145821254778,0.6842533225663087,1.4107979911645194,2.4,2.8571428571428568,20.0,11.142009259259261
2021-12-02 03:30:42.600,-78.05569579041666,26.16904778208333,0.6504716502825372,0.6855829346854971,0.7677259118743367,2.727272727272727,2.903225806451613,2.727272727272727,9.748722222222222
2021-12-02 04:00:42.500,-78.02833386583335,26.13890141125,0.5147624142766181,0.5374116617552419,0.6019390518000667,2.5,2.432432432432432,2.432432432432432,9.017782407407408
2021-12-02 04:30:42.600,-77.78263870208333,26.109804114166664,0.41825467406435585,0.4319905554524895,0.48568591769880826,2.608695652173913,2.278481012658228,2.278481012658228,8.177523148148149
2021-12-02 05:00:42.500,-77.57050613833333,26.08137241375,0.40634321187356914,0.41152135029164677,0.4803109381617391,5.142857142857142,3.829787234042553,3.829787234042553,9.227847222222222
2021-12-02 05:30:42.600,-77.54183207249999,26.0530765675,0.36690168087822717,0.37492261855903214,0.4284009695482735,5.294117647058823,2.3076923076923075,2.3076923076923075,8.321138888888889
2021-12-02 06:00:42.600,-77.51245388791666,26.025106377083336,0.3345823106138583,0.3492952111928211,0.3992852101185316,2.3376623376623376,2.0224719101123596,2.3376623376623376,6.8185324074074085
2021-12-02 06:30:42.600,-77.48323021916666,25.764948495833334,0.3413914208260181,0.34930529384129166,0.4007257481894876,5.454545454545454,4.5,4.5,6.895699074074074
2021-12-02 07:00:42.500,-77.45754943583333,25.571714979999996,0.31573136477619057,0.3356476539513417,0.3809328480833963,5.625,10.0,4.0,6.269791666666666
2021-12-02 07:30:42.600,-77.43236455833333,25.54283342958333,0.3329957722142919,0.35256945567944686,0.40711463262689535,5.142857142857142,10.0,4.5,5.907537037037038
