time,ug2_Hs,ug2_Tp,ug2_Tp_ds,ug2_Tm01,ug2_Tm01_ds,ug2_Tm02,ug2_Tm02_ds
07/10/2021 16:00,2.708569632,12.85714286,11.14357292,9.662279681,7.473320691,8.920748264,6.957942271
07/10/2021 16:30,2.707194199,12.85714286,10.95081185,9.49466508,7.701585878,8.761695249,7.387405063
07/10/2021 17:15,2.964361961,12.85714286,11.18353401,9.668950385,7.92250552,9.044658112,7.597958932
07/10/2021 17:30,2.958248606,12,10.01065515,9.865179729,8.279145065,8.900037936,7.930109423
07/10/2021 18:00,2.796925888,10.58823529,8.716848577,9.464098794,7.6604365,8.813310861,7.317040147
07/10/2021 18:30,2.808362847,9.473684211,6.994677883,9.793912245,7.546010172,9.11758896,7.247077985
07/10/2021 19:00,2.835179196,12.85714286,10.34390097,9.705863978,7.235782333,9.007218383,6.968581469
07/10/2021 19:30,2.707451773,12.85714286,10.54728322,9.609495458,7.331891851,8.937327108,7.057349692
07/10/2021 20:00,2.656462319,10,7.530806685,9.37091475,7.186957583,8.691098914,6.925647644
07/10/2021 20:30,2.760393071,9.473684211,6.729670282,9.258586523,6.894895695,8.581323126,6.639131459
07/10/2021 21:00,2.782894811,10,7.111949634,9.219120773,7.158454504,8.574020802,7.00056088
07/10/2021 21:30,2.61867445,8.571428571,6.250704119,8.682265057,6.570318125,8.079876171,6.308582046
07/10/2021 22:00,2.281885884,9,6.694926819,8.484735904,6.307099663,7.88771911,6.050535548
07/10/2021 22:30,2.537435742,12.85714286,10.96865763,9.126500202,7.459218792,8.359895319,7.154949711
07/10/2021 23:00,2.338989682,9.473684211,7.302345905,9.270267704,7.404763424,8.612563967,7.125072226
07/10/2021 23:30,2.185812769,12.85714286,10.88744577,8.679218897,6.842959876,7.98248025,6.535236318
08/10/2021 00:00,2.2601435,8.571428571,6.043581034,8.701558137,6.480966243,8.028051564,6.187646573
08/10/2021 00:30,2.700564149,12.85714286,10.62391605,9.160440966,6.953155731,8.478936324,6.61226362
08/10/2021 01:00,2.31574839,9,6.314097625,9.00389469,7.208213692,8.322223965,6.989689243
08/10/2021 01:30,2.190366525,13.84615385,12.00473677,8.527038441,6.255059417,7.814129167,5.870000467
08/10/2021 02:00,2.326798648,12.85714286,10.94198113,8.854276096,6.735365766,8.221914985,6.384635158
08/10/2021 02:30,2.363165061,12.85714286,10.90489668,8.869557918,6.346136558,8.222593046,5.965981732
08/10/2021 03:00,2.253372192,13.84615385,11.77610561,8.843089468,6.901111999,8.114473529,6.565360685
08/10/2021 03:30,2.511045553,10.58823529,7.535749735,9.395071645,7.588462578,8.667198102,7.389914987
08/10/2021 04:00,2.238231593,9.473684211,6.912407717,8.828432404,7.028008624,8.082297088,6.694950342
08/10/2021 04:30,2.085331773,9,6.391124862,8.347018563,6.404284533,7.736453672,6.143855941
08/10/2021 05:00,2.173789662,12.85714286,10.698045,8.927161399,6.69703881,8.185106345,6.269892726
08/10/2021 05:30,2.60085034,10,6.685446587,9.739326838,7.263469453,8.997471839,7.049317125
08/10/2021 06:00,2.558955346,12.85714286,10.13276597,9.533746038,7.946106155,8.752253741,7.732226626
08/10/2021 06:30,2.712925834,12,8.99097702,9.192286653,7.923578348,8.125717619,7.778474609
08/10/2021 07:00,2.763782349,9.473684211,6.770039197,9.102185341,7.094181073,8.416709419,6.888387097
08/10/2021 07:30,2.445364909,8.571428571,6.625325716,8.637966748,6.976764966,7.969580515,6.645573709
08/10/2021 08:00,2.583214096,9,6.947612,8.371729003,6.51874417,7.822035996,6.287220963
08/10/2021 08:30,2.698644034,10.58823529,8.447741814,8.853716332,6.865842932,8.228440649,6.588445422
08/10/2021 09:00,2.368964437,9,6.534246553,8.659617098,6.412533131,7.979673331,6.119708759
08/10/2021 09:30,2.510176917,9,6.266811007,8.927137347,6.947717648,8.253687176,6.741269661
08/10/2021 10:00,2.460473498,10.58823529,7.937410885,8.712139262,6.897559804,8.090227401,6.684917964
08/10/2021 10:30,2.448049965,9.473684211,6.436150632,9.039519444,7.048592306,8.448780243,6.906507424
08/10/2021 11:00,2.533602998,9,5.456266958,8.835579939,7.548167626,8.148327294,7.318178569
08/10/2021 11:30,2.450449547,10.58823529,7.411798576,8.926841854,6.833914148,8.29570906,6.662010893
08/10/2021 12:00,2.410030235,10,6.364681423,9.015948279,7.136867577,8.350619081,6.992732553
08/10/2021 12:30,2.358049609,11.25,8.006907663,8.987935018,7.393668972,8.329239733,7.240430476
08/10/2021 13:00,2.393733186,9.473684211,6.153062697,8.620197953,7.255523556,8.035195955,7.088989841
08/10/2021 13:30,2.507166579,10,7.237628414,8.654369294,6.87926621,8.061402056,6.65580241
08/10/2021 14:00,2.345893942,7.826086957,6.69588382,7.57920154,6.051824943,6.919240348,5.399154086
08/10/2021 14:31,2.011363993,7.5,7.178972312,7.093204028,6.702167558,6.462588883,6.048090956
08/10/2021 15:00,2.222003634,7.826086957,7.544327801,7.265102827,6.94439156,6.647005688,6.299713258
08/10/2021 15:30,2.436025503,7.826086957,7.492441213,7.392575473,6.926553118,6.758658034,6.254224906
08/10/2021 16:01,2.497628138,10.58823529,7.235179304,9.399185377,7.50043752,8.701843248,7.345469911
08/10/2021 16:30,2.524342993,11.25,7.220626451,9.565719763,7.771895434,8.756216041,7.632902044
08/10/2021 17:00,2.729533897,12,8.188852259,9.578923509,7.776486144,8.56108469,7.644856091
08/10/2021 17:30,3.247417111,11.25,6.522564898,9.160635861,7.944988382,7.862008862,7.797183352
08/10/2021 18:00,2.550889098,10,5.905294968,9.120781158,7.531874765,8.37202144,7.381743078
08/10/2021 18:30,2.994422927,11.25,7.655532381,9.718371845,7.770789073,8.970048417,7.613464491
08/10/2021 19:00,2.886814684,12,7.75942258,10.20905262,8.055332302,9.31773257,7.914785066
08/10/2021 19:30,1.990848141,13.66666667,9.316691547,9.024807988,9.850972642,7.984721936,9.791415624
08/10/2021 20:00,2.951951085,12,7.754648916,9.789238378,9.427998989,8.839575599,9.227744296
